location,year,km_run,fuel,trans,owner,mileage,engine,power,seats,brand,model
Jaipur,2011,32531,Diesel,Automatic,Second,13.73,1995.0,148.0,5.0,Renault,Koleos
Hyderabad,2013,71336,Diesel,Manual,First,20.0,1399.0,68.0,5.0,Ford,Figo
Chennai,2006,196000,Diesel,Manual,First,12.8,2494.0,102.0,7.0,Toyota,Innova
Kolkata,2015,28193,Diesel,Manual,First,28.4,1248.0,73.75,5.0,Maruti,Dzire
Coimbatore,2019,2526,Petrol,Automatic,First,19.0,2996.0,362.07,2.0,Mercedes-Benz,SLC
Hyderabad,2013,85000,Diesel,Automatic,First,16.1,1950.0,194.0,5.0,Mercedes-Benz,E-Class
Ahmedabad,2015,20780,Petrol,Manual,First,18.9,1197.0,81.86,5.0,Hyundai,Grand
Mumbai,2014,43081,Petrol,Manual,First,17.3,1497.0,117.3,7.0,Honda,Mobilio
Mumbai,2010,35000,Petrol,Automatic,Second,11.9,4806.0,550.0,5.0,Porsche,Cayenne
Kolkata,2013,36000,Diesel,Manual,First,17.21,1493.0,100.0,7.0,Mahindra,Quanto
Mumbai,2007,67000,Petrol,Manual,Third,13.4,1794.0,125.0,5.0,Toyota,Corolla
Mumbai,2016,34079,Diesel,Manual,First,25.32,1198.0,77.0,6.0,Mahindra,KUV
Coimbatore,2010,77849,Petrol,Automatic,Second,10.9,2497.0,215.0,5.0,BMW,3
Jaipur,2013,86000,Petrol,Manual,First,22.74,796.0,47.3,5.0,Maruti,Alto
Pune,2015,110000,Diesel,Automatic,First,15.73,1968.0,174.33,5.0,Audi,Q3
Hyderabad,2015,116000,Diesel,Manual,Second,23.59,1364.0,67.05,5.0,Toyota,Etios
Coimbatore,2016,41840,Diesel,Manual,First,15.1,2179.0,140.0,7.0,Mahindra,XUV500
Hyderabad,2015,19317,Diesel,Manual,First,13.0,2982.0,168.7,7.0,Toyota,Fortuner
Kochi,2017,25601,Diesel,Automatic,First,17.9,2143.0,201.15,5.0,Mercedes-Benz,GLE
Jaipur,2015,83950,Diesel,Manual,First,19.67,1582.0,126.2,5.0,Hyundai,Creta
Pune,2012,60000,Petrol,Automatic,First,16.8,1497.0,118.0,5.0,Honda,City
Hyderabad,2015,50000,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,Audi,A4
Kolkata,2009,37000,Petrol,Manual,First,17.3,993.0,60.0,5.0,Maruti,Zen
Hyderabad,2011,76976,Petrol,Manual,Second,19.7,796.0,46.3,5.0,Maruti,Alto
Kochi,2018,21684,Petrol,Automatic,First,21.4,1197.0,83.1,5.0,Maruti,Baleno
Delhi,2015,62000,Diesel,Manual,First,16.0,2179.0,140.0,7.0,Mahindra,XUV500
Mumbai,2007,1261,Petrol,Manual,First,19.0,1194.0,94.68,5.0,Ford,Freestyle
Coimbatore,2017,59450,Petrol,Manual,First,18.6,1197.0,81.86,5.0,Hyundai,Elite
Coimbatore,2018,24465,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,Mercedes-Benz,New
Delhi,2014,55000,Petrol,Manual,First,17.8,1497.0,117.3,5.0,Honda,City
Mumbai,2017,2000,Petrol,Manual,First,18.88,1499.0,110.4,5.0,Ford,EcoSport
Kochi,2017,25040,Petrol,Manual,First,21.4,1197.0,83.1,5.0,Maruti,Baleno
Bangalore,2008,84000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,Hyundai,i10
Pune,2007,170428,Diesel,Manual,Second,12.8,2494.0,102.0,8.0,Toyota,Innova
Mumbai,2016,12573,Petrol,Manual,First,21.4,1197.0,83.1,5.0,Maruti,Baleno
Hyderabad,2012,88000,Diesel,Automatic,First,12.07,2967.0,241.4,7.0,Audi,Q7
Delhi,2012,86000,Diesel,Automatic,Second,13.01,2199.0,194.3,7.0,Hyundai,Santa
Mumbai,2013,45000,Petrol,Manual,First,17.0,1497.0,118.0,5.0,Honda,City
Jaipur,2012,51000,Diesel,Manual,First,21.9,1396.0,90.0,5.0,Hyundai,i20
Pune,2007,92000,Diesel,Manual,First,13.6,2523.0,63.0,7.0,Mahindra,Bolero
Pune,2017,29000,Diesel,Automatic,First,12.9,2755.0,174.5,7.0,Toyota,Fortuner
Bangalore,2009,70521,Petrol,Automatic,Second,10.9,2497.0,215.0,5.0,BMW,3
Kolkata,2010,51000,Diesel,Automatic,First,16.07,1995.0,181.0,5.0,BMW,3
Hyderabad,2012,52618,Petrol,Manual,First,18.9,998.0,67.1,5.0,Maruti,Wagon
Delhi,2013,68000,Diesel,Manual,First,25.47,1248.0,88.5,7.0,Maruti,Ertiga
Kochi,2016,29022,Diesel,Automatic,Second,15.68,1999.0,177.0,5.0,Land,Rover
Chennai,2017,80000,Diesel,Manual,First,24.52,1248.0,88.5,7.0,Maruti,Ertiga
Chennai,2016,78000,Diesel,Manual,Second,25.0,1396.0,69.01,5.0,Tata,Indigo
Pune,2012,100000,Petrol,Manual,First,20.92,998.0,67.1,5.0,Maruti,Alto
Coimbatore,2015,31412,Petrol,Manual,First,21.1,814.0,55.2,5.0,Hyundai,EON
Mumbai,2010,78000,Diesel,Automatic,Second,11.4,2953.0,153.86,7.0,Ford,Endeavour
Hyderabad,2018,14000,Diesel,Automatic,First,12.62,2198.0,158.0,7.0,Ford,Endeavour
Bangalore,2011,80000,Diesel,Manual,First,20.54,1598.0,103.6,5.0,Volkswagen,Vento
Mumbai,2014,46738,Petrol,Automatic,First,19.12,1373.0,91.1,5.0,Maruti,Ciaz
Coimbatore,2013,54884,Petrol,Manual,Second,21.1,814.0,55.2,5.0,Hyundai,EON
Delhi,2012,74500,Diesel,Automatic,Second,14.16,1968.0,174.3,5.0,Audi,Q5
Coimbatore,2016,67472,Diesel,Manual,First,16.0,2179.0,140.0,7.0,Mahindra,XUV500
Hyderabad,2013,84000,Diesel,Manual,First,28.4,1248.0,74.0,5.0,Maruti,Swift
Kolkata,2011,77400,Diesel,Manual,First,21.1,1248.0,73.9,5.0,Maruti,Ritz
Mumbai,2017,14470,Diesel,Automatic,First,19.71,2143.0,201.15,5.0,Mercedes-Benz,New
Kolkata,2014,52108,Diesel,Manual,First,19.01,1461.0,108.45,5.0,Renault,Duster
Kolkata,2013,40000,Petrol,Manual,First,19.1,1197.0,85.8,5.0,Maruti,Swift
Jaipur,2014,105044,Diesel,Manual,First,12.99,2494.0,100.6,7.0,Toyota,Innova
Delhi,2016,24347,Petrol,Manual,First,15.8,1591.0,121.3,5.0,Hyundai,Creta
Ahmedabad,2014,58000,Diesel,Manual,First,21.79,1248.0,88.73,5.0,Maruti,SX4
Kochi,2014,49663,Diesel,Manual,First,15.1,2179.0,140.0,7.0,Mahindra,XUV500
Mumbai,2017,17000,Petrol,Automatic,First,18.0,1497.0,117.3,5.0,Honda,City
Kochi,2016,13418,Diesel,Automatic,First,16.36,2179.0,187.7,5.0,Jaguar,XF
Pune,2008,117080,Diesel,Manual,Third,17.8,1399.0,68.0,5.0,Ford,Fiesta
Mumbai,2010,74000,Petrol,Automatic,First,10.8,2497.0,150.0,5.0,BMW,5
Hyderabad,2010,86514,Diesel,Manual,First,17.8,1248.0,,5.0,Maruti,Swift
Coimbatore,2014,66882,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,Audi,A6
Kochi,2014,41460,Petrol,Manual,First,18.5,1198.0,86.8,5.0,Honda,Brio
Mumbai,2011,57000,Petrol,Automatic,First,16.8,1497.0,118.0,5.0,Honda,City
Bangalore,2015,34010,Petrol,Manual,Third,16.47,1198.0,73.9,5.0,Volkswagen,Polo
Pune,2010,96813,Diesel,Manual,Second,12.05,2179.0,120.0,8.0,Mahindra,Scorpio
Mumbai,2011,84000,Petrol,Manual,First,16.8,1497.0,116.3,5.0,Honda,City
Kochi,2013,50004,Petrol,Manual,First,15.0,1598.0,103.5,5.0,Skoda,Rapid
Coimbatore,2016,67995,Diesel,Manual,First,16.0,2179.0,140.0,7.0,Mahindra,XUV500
Chennai,2012,55000,Diesel,Manual,First,15.0,1896.0,105.0,5.0,Volkswagen,Jetta
Hyderabad,2017,14900,Petrol,Automatic,First,21.4,1197.0,83.1,5.0,Maruti,Baleno
Jaipur,2013,70961,Diesel,Manual,First,25.8,1498.0,98.6,5.0,Honda,Amaze
Mumbai,2015,40194,Petrol,Manual,First,15.04,1598.0,103.2,5.0,Volkswagen,Vento
Hyderabad,2015,96000,Petrol,Manual,First,22.74,796.0,47.3,5.0,Maruti,Alto
Mumbai,2017,35000,Diesel,Automatic,First,18.0,2993.0,255.0,7.0,Land,Rover
Delhi,2015,50000,Petrol,Automatic,First,18.0,1497.0,117.3,5.0,Honda,City
Mumbai,2014,50000,Diesel,Manual,First,19.01,1461.0,108.5,5.0,Nissan,Terrano
Mumbai,2008,26299,Petrol,Manual,First,19.7,796.0,46.3,5.0,Maruti,Alto
Bangalore,2015,150386,Diesel,Manual,First,14.24,2755.0,174.5,7.0,Toyota,Fortuner
Kolkata,2012,60000,Diesel,Manual,First,21.9,1396.0,90.0,5.0,Hyundai,i20
Hyderabad,2013,65000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,Ford,Figo
Ahmedabad,2017,80000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,Maruti,Vitara
Chennai,2012,92000,Diesel,Manual,Third,22.32,1582.0,126.32,5.0,Hyundai,Verna
Mumbai,2016,13000,Petrol,Automatic,First,12.95,1999.0,152.88,5.0,Hyundai,Tucson
Coimbatore,2013,73278,Diesel,Manual,First,21.1,1248.0,73.9,5.0,Maruti,Ritz
Mumbai,2011,38000,Petrol,Automatic,First,10.8,1984.0,132.0,5.0,Audi,A4
Kochi,2016,46936,Diesel,Automatic,First,13.0,2143.0,204.0,5.0,Mercedes-Benz,E-Class
Jaipur,2015,55000,Diesel,Manual,First,19.87,1461.0,83.8,5.0,Renault,Duster
Mumbai,2014,19000,Petrol,Automatic,First,15.5,1198.0,86.7,5.0,Honda,Amaze
Coimbatore,2016,42259,Diesel,Automatic,First,9.0,1984.0,181.0,5.0,Volvo,S60
Mumbai,2011,14000,Petrol,Manual,Second,17.5,1197.0,85.8,5.0,Maruti,Swift
Kolkata,2016,16956,Petrol,Manual,First,22.5,998.0,67.04,5.0,Maruti,Wagon
Coimbatore,2017,15473,Petrol,Manual,First,16.8,796.0,34.2,5.0,Maruti,Omni
Delhi,2011,75000,Diesel,Manual,First,21.5,1248.0,88.8,5.0,Maruti,SX4
Ahmedabad,2013,96000,Diesel,Manual,Second,23.5,1498.0,90.0,5.0,Ford,Fiesta
Delhi,2015,25000,Petrol,Automatic,First,19.16,2494.0,158.2,5.0,Toyota,Camry
Mumbai,2010,38000,Petrol,Manual,Second,22.5,998.0,67.04,5.0,Maruti,Wagon
Bangalore,2005,54000,Diesel,Automatic,First,11.0,2987.0,198.5,5.0,Mercedes-Benz,E-Class
Jaipur,2018,4131,Petrol,Automatic,First,21.4,1197.0,83.1,5.0,Maruti,Baleno
Hyderabad,2016,31700,Petrol,Manual,First,18.7,1199.0,88.7,5.0,Honda,Jazz
Pune,2017,66988,Diesel,Automatic,First,15.4,2179.0,120.0,7.0,Mahindra,Scorpio
Mumbai,2014,54230,Petrol,Manual,First,16.47,1198.0,74.0,5.0,Volkswagen,Polo
Kolkata,2015,35000,Petrol,Manual,First,17.0,1197.0,80.0,5.0,Hyundai,i20
Mumbai,2010,62714,Petrol,Automatic,First,12.1,2362.0,164.7,5.0,Toyota,Camry
Hyderabad,2015,45295,Petrol,Manual,First,18.9,998.0,67.1,5.0,Maruti,Wagon
Pune,2018,7000,Diesel,Automatic,First,18.12,1995.0,190.0,5.0,BMW,5
Chennai,2016,57000,Petrol,Automatic,First,24.07,998.0,67.1,5.0,Maruti,Alto
Delhi,2013,40100,Diesel,Automatic,First,14.84,2143.0,170.0,5.0,Mercedes-Benz,New
Delhi,2013,56000,Petrol,Manual,First,24.7,796.0,47.3,5.0,Maruti,Alto
Mumbai,2012,15000,Petrol,Manual,First,18.6,1197.0,85.8,5.0,Maruti,Swift
Kolkata,2014,14000,Petrol,Manual,First,18.2,1199.0,82.5,5.0,Chevrolet,Sail
Ahmedabad,2009,68000,Diesel,Manual,Second,23.0,1396.0,90.0,5.0,Hyundai,i20
Delhi,2012,83000,Diesel,Automatic,First,11.9,2496.0,163.2,5.0,Skoda,Superb
Kochi,2013,81504,Diesel,Manual,First,21.43,1364.0,87.2,5.0,Toyota,Corolla
Hyderabad,2015,73500,Diesel,Manual,First,13.0,2982.0,168.5,7.0,Toyota,Fortuner
Pune,2013,52900,Petrol,Automatic,First,14.3,1598.0,103.52,5.0,Skoda,Rapid
Mumbai,2017,20000,Petrol,Automatic,First,16.5,1198.0,86.8,5.0,Honda,Brio
Jaipur,2011,46000,Petrol,Manual,First,16.47,1198.0,73.9,5.0,Volkswagen,Polo
Delhi,2010,65000,Petrol,Manual,First,16.47,1198.0,73.9,5.0,Volkswagen,Polo
Pune,2007,42000,Petrol,Manual,Third,18.2,998.0,67.1,5.0,Maruti,Zen
Kochi,2016,36681,Diesel,Manual,First,23.59,1364.0,67.06,5.0,Toyota,Etios
Ahmedabad,2014,67000,Diesel,Manual,Second,15.1,2179.0,140.0,7.0,Mahindra,XUV500
Chennai,2016,18000,Petrol,Automatic,First,18.9,1197.0,82.0,5.0,Hyundai,Grand
Kochi,2015,56409,Diesel,Manual,First,22.7,1498.0,89.84,5.0,Ford,Ecosport
Coimbatore,2018,20300,Petrol,Automatic,First,18.0,1497.0,117.3,5.0,Honda,City
Kolkata,2010,45008,Petrol,Manual,First,17.0,1497.0,118.0,5.0,Honda,City
Kochi,2017,21799,Petrol,Manual,First,23.1,998.0,67.04,5.0,Maruti,Celerio
Pune,2011,57328,Petrol,Manual,First,15.04,1598.0,103.6,5.0,Volkswagen,Vento
Hyderabad,2017,35358,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,Toyota,Innova
Delhi,2009,46946,Petrol,Manual,Second,18.5,1197.0,80.0,5.0,Hyundai,i20
Kolkata,2012,39772,Diesel,Manual,First,23.2,1248.0,73.94,5.0,Maruti,Ritz
Delhi,2014,58000,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,Audi,A6
Bangalore,2014,52000,Petrol,Manual,First,13.24,1598.0,102.57,5.0,Renault,Duster
Hyderabad,2008,152000,Petrol,Manual,Second,13.5,1799.0,130.0,5.0,Honda,Civic
Jaipur,2016,42700,Petrol,Manual,First,23.84,1199.0,84.0,5.0,Tata,Tiago
Hyderabad,2014,60000,Diesel,Automatic,First,16.55,1968.0,147.51,5.0,Audi,A4
Coimbatore,2015,33195,Petrol,Manual,First,19.1,1197.0,85.8,5.0,Maruti,Swift
Hyderabad,2010,110000,Diesel,Manual,First,14.24,2755.0,174.5,7.0,Toyota,Fortuner
Mumbai,2016,52000,Diesel,Automatic,First,15.26,2143.0,203.2,5.0,Mercedes-Benz,M-Class
Kochi,2015,64399,Diesel,Manual,First,21.9,1396.0,90.0,5.0,Hyundai,i20
Mumbai,2015,55000,Petrol,Manual,First,21.5,1197.0,81.8,5.0,Maruti,Wagon
Bangalore,2012,50000,Diesel,Manual,First,20.54,1598.0,103.6,5.0,Volkswagen,Vento
Kolkata,2014,33485,Petrol,Manual,First,19.1,1197.0,85.8,5.0,Maruti,Swift
Kolkata,2015,32000,Diesel,Manual,First,20.4,1248.0,91.7,5.0,Fiat,Linea
Bangalore,2009,71400,Petrol,Manual,Third,17.0,1497.0,118.0,5.0,Honda,City
Hyderabad,2016,41713,Diesel,Manual,First,19.67,1582.0,126.2,5.0,Hyundai,Creta
Hyderabad,2017,46000,Diesel,Manual,First,25.6,1498.0,98.6,5.0,Honda,City
Hyderabad,2015,52950,Petrol,Manual,First,14.0,796.0,35.0,5.0,Maruti,Omni
Chennai,2015,29500,Petrol,Manual,First,20.4,1197.0,81.8,5.0,Maruti,Swift
Coimbatore,2012,63888,Diesel,Automatic,First,14.0,2987.0,224.0,5.0,Mercedes-Benz,M-Class
Ahmedabad,2016,60000,Petrol,Manual,First,24.7,796.0,47.3,5.0,Maruti,Alto
Delhi,2010,59196,Petrol,Manual,Second,15.6,1196.0,70.0,5.0,Ford,Figo
Hyderabad,2016,121362,Diesel,Manual,First,13.68,2393.0,147.8,7.0,Toyota,Innova
Mumbai,2013,78000,Diesel,Automatic,First,18.48,1995.0,177.0,5.0,BMW,5
Bangalore,2015,59000,Diesel,Automatic,First,13.01,2199.0,194.3,7.0,Hyundai,Santa
Ahmedabad,2012,95000,Diesel,Automatic,Second,22.48,1995.0,190.0,5.0,BMW,5
Hyderabad,2010,84000,Diesel,Manual,Second,17.8,1399.0,68.0,5.0,Ford,Fiesta
Bangalore,2012,58253,Diesel,Manual,Second,23.59,1364.0,,5.0,Toyota,Etios
Coimbatore,2014,64557,Diesel,Automatic,Second,12.7,2179.0,187.7,5.0,Land,Rover
Pune,2012,24500,Petrol,Manual,Second,18.3,,,5.0,Toyota,Etios
Kolkata,2009,68078,Petrol,Manual,First,19.7,796.0,46.3,5.0,Maruti,Alto
Jaipur,2009,149706,Diesel,Manual,First,11.5,2982.0,171.0,7.0,Toyota,Fortuner
Mumbai,2013,25984,Petrol,Manual,First,15.8,1499.0,110.0,5.0,Ford,Ecosport
Mumbai,2017,15544,Petrol,Manual,First,21.4,1197.0,83.1,5.0,Maruti,Baleno
Mumbai,2015,34000,Diesel,Automatic,First,23.8,1998.0,112.0,5.0,Mini,Cooper
Mumbai,2013,24000,Petrol,Automatic,First,17.01,1591.0,121.4,5.0,Hyundai,Verna
Pune,2011,95000,Diesel,Manual,Third,20.0,1399.0,68.0,5.0,Ford,Figo
Pune,2014,52000,Diesel,Manual,Second,25.8,1498.0,98.6,5.0,Honda,Amaze
Pune,2012,135000,Diesel,Manual,First,19.01,1461.0,108.45,5.0,Renault,Duster
Delhi,2017,39000,Diesel,Manual,First,23.0,1498.0,98.96,5.0,Ford,EcoSport
Jaipur,2013,45306,Diesel,Automatic,Second,11.2,2993.0,241.0,4.0,BMW,X6
Mumbai,2010,140000,Diesel,Manual,First,14.24,2755.0,174.5,7.0,Toyota,Fortuner
Kochi,2015,67415,Diesel,Automatic,First,11.18,2696.0,184.0,7.0,Mahindra,Ssangyong
Kolkata,2016,25562,Petrol,Manual,First,23.1,998.0,67.04,5.0,Maruti,Celerio
Jaipur,2016,30292,Petrol,Manual,First,18.6,1197.0,81.83,5.0,Hyundai,i20
Bangalore,2014,84056,Petrol,Manual,First,18.88,999.0,123.24,5.0,Ford,EcoSport
Jaipur,2017,62691,Diesel,Manual,First,26.21,1248.0,88.5,5.0,Maruti,Ciaz
Pune,2013,87000,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,Audi,A4
Delhi,2015,52513,Petrol,Manual,First,18.0,1198.0,86.7,5.0,Honda,Amaze
Kochi,2016,43983,Petrol,Automatic,First,15.63,1499.0,110.4,5.0,Ford,EcoSport
Hyderabad,2013,90121,Petrol,Manual,First,20.92,998.0,67.1,5.0,Maruti,Alto
Bangalore,2011,50000,Diesel,Automatic,Third,16.77,2967.0,241.38,5.0,Audi,A6
Kolkata,2011,42500,Diesel,Automatic,First,18.33,1968.0,167.7,5.0,Volkswagen,Passat
Kochi,2016,62192,Diesel,Manual,First,28.4,1248.0,74.0,5.0,Maruti,Swift
Chennai,2011,128000,Diesel,Manual,Third,19.2,1461.0,65.0,5.0,Mahindra,Logan
Kochi,2018,38394,Petrol,Manual,First,21.56,1462.0,103.25,5.0,Maruti,Ciaz
Coimbatore,2013,37287,Petrol,Manual,First,26.0,624.0,35.0,4.0,Tata,Nano
Delhi,2011,60000,Petrol,Automatic,First,16.8,1497.0,118.0,5.0,Honda,City
Coimbatore,2017,39419,Petrol,Manual,First,18.16,1196.0,86.8,5.0,Ford,Figo
Delhi,2014,55000,Diesel,Manual,First,22.54,1396.0,88.73,5.0,Hyundai,i20
Mumbai,2016,7000,Petrol,Manual,First,18.88,1499.0,110.4,5.0,Ford,EcoSport
Hyderabad,2011,85000,Diesel,Automatic,First,16.55,1968.0,147.51,5.0,Audi,A4
Hyderabad,2013,51000,Diesel,Automatic,Second,20.58,1995.0,143.0,5.0,BMW,1
Bangalore,2012,90000,Diesel,Manual,Second,13.93,2179.0,138.03,7.0,Tata,Safari
Jaipur,2010,105000,Diesel,Manual,Second,12.05,2179.0,120.0,8.0,Mahindra,Scorpio
Coimbatore,2017,36458,Petrol,Manual,First,15.29,1591.0,121.3,5.0,Hyundai,Creta
Chennai,2006,109000,Petrol,Manual,First,16.9,1497.0,100.0,5.0,Honda,City
Delhi,2015,49000,Diesel,Automatic,First,17.05,1995.0,184.0,5.0,BMW,X1
Mumbai,2011,8000,Petrol,Automatic,First,9.0,3436.0,,2.0,Porsche,Cayman
Hyderabad,2010,45000,Diesel,Automatic,First,14.7,2993.0,241.4,6.0,Land,Rover
Chennai,2008,68000,Petrol,Manual,Third,19.7,796.0,46.3,5.0,Maruti,Alto
Mumbai,2011,54000,Petrol,Automatic,First,19.2,1197.0,80.0,5.0,Hyundai,i10
Delhi,2016,28000,Petrol,Automatic,First,14.62,1999.0,149.92,5.0,Hyundai,Elantra
Delhi,2016,38500,Diesel,Manual,Second,28.09,1248.0,88.5,5.0,Maruti,Ciaz
Coimbatore,2016,17738,Diesel,Automatic,First,15.3,2993.0,258.0,5.0,BMW,X5
Kolkata,2012,67132,Diesel,Manual,First,13.58,2499.0,78.0,9.0,Chevrolet,Tavera
Mumbai,2011,47000,Diesel,Manual,First,20.64,1498.0,108.5,5.0,Volkswagen,Vento
Mumbai,2015,28005,Petrol,Manual,First,17.8,1497.0,117.3,5.0,Honda,City
Kolkata,2017,13000,Petrol,Manual,First,20.4,1197.0,81.8,5.0,Maruti,Swift
Kolkata,2012,67000,Diesel,Manual,First,19.33,1968.0,138.1,5.0,Volkswagen,Jetta
Delhi,2015,50000,Petrol,Manual,First,18.6,1197.0,81.83,5.0,Hyundai,i20
Bangalore,2014,55000,Diesel,Manual,First,15.1,2179.0,140.0,7.0,Mahindra,XUV500
Coimbatore,2019,9312,Diesel,Automatic,First,18.0,2987.0,258.0,5.0,Mercedes-Benz,E-Class
Kolkata,2015,30458,Petrol,Manual,First,23.1,998.0,67.04,5.0,Maruti,Celerio
Mumbai,2014,46000,Petrol,Manual,First,15.04,1598.0,103.2,5.0,Volkswagen,Vento
Pune,2011,50000,Petrol,Manual,Second,23.9,624.0,37.48,4.0,Tata,Nano
Chennai,2014,72563,Diesel,Manual,Second,22.77,1498.0,98.59,5.0,Ford,EcoSport
Pune,2015,67000,Petrol,Manual,First,16.1,,,5.0,Maruti,Swift
Coimbatore,2015,58239,Petrol,Automatic,First,14.62,1999.0,149.92,5.0,Hyundai,Elantra
Coimbatore,2015,57934,Diesel,Manual,First,18.2,1248.0,73.74,8.0,Chevrolet,Enjoy
Chennai,2017,6500000,Diesel,Automatic,First,15.97,2993.0,258.0,5.0,BMW,X5
Jaipur,2015,63000,Diesel,Manual,First,20.14,1498.0,88.8,5.0,Volkswagen,Polo
Mumbai,2012,27014,Petrol,Manual,First,16.25,1198.0,75.0,5.0,Skoda,Fabia
Chennai,2012,90906,Diesel,Manual,First,20.54,1598.0,103.6,5.0,Volkswagen,Vento
Hyderabad,2013,61202,Diesel,Automatic,First,11.18,2696.0,184.0,7.0,Mahindra,Ssangyong
Mumbai,2014,51000,Diesel,Manual,First,19.87,1461.0,83.14,5.0,Nissan,Terrano
Ahmedabad,2016,88008,Diesel,Automatic,Second,12.9,2755.0,174.5,7.0,Toyota,Fortuner
Mumbai,2007,55000,Petrol,Manual,Second,16.1,,,5.0,Maruti,Swift
Jaipur,2004,160000,Petrol,Automatic,Second,11.3,1794.0,125.0,5.0,Toyota,Corolla
Kochi,2012,42591,Petrol,Manual,First,20.36,1197.0,78.9,5.0,Hyundai,i10
Bangalore,2012,67000,Diesel,Manual,First,23.0,1396.0,90.0,5.0,Hyundai,i20
Pune,2014,48000,Diesel,Manual,Second,25.8,1498.0,98.6,5.0,Honda,Amaze
Jaipur,2014,97000,Diesel,Automatic,First,22.32,1582.0,126.32,5.0,Hyundai,Verna
Mumbai,2018,10000,Diesel,Automatic,First,17.9,2143.0,136.0,5.0,Mercedes-Benz,GLA
Coimbatore,2015,56900,Diesel,Manual,First,20.14,1498.0,88.8,5.0,Volkswagen,Polo
Kochi,2017,36152,Petrol,Automatic,First,21.4,1197.0,83.1,5.0,Maruti,Baleno
Hyderabad,2014,85512,Diesel,Manual,First,22.9,1248.0,74.0,5.0,Maruti,Swift
Chennai,2013,234000,Diesel,Manual,Second,14.0,2489.0,95.0,8.0,Mahindra,Xylo
Bangalore,2013,36000,Diesel,Manual,Second,22.7,1498.0,89.84,5.0,Ford,Ecosport
Delhi,2015,36096,Diesel,Manual,First,15.1,2179.0,140.0,7.0,Mahindra,XUV500
Hyderabad,2010,111111,Petrol,Manual,Second,18.6,1199.0,79.4,5.0,Chevrolet,Beat
Bangalore,2012,73000,Petrol,Manual,First,17.01,1591.0,121.3,5.0,Hyundai,Verna
Kolkata,2014,44300,Petrol,Manual,Second,18.9,1197.0,82.0,5.0,Hyundai,Grand
Bangalore,2014,74500,Diesel,Manual,First,19.01,1461.0,108.45,5.0,Renault,Duster
Coimbatore,2016,21495,Petrol,Manual,First,19.1,1197.0,81.86,5.0,Hyundai,Xcent
Delhi,2012,59000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,Hyundai,i10
Delhi,2016,23000,Petrol,Automatic,First,13.7,1991.0,183.0,5.0,Mercedes-Benz,GLA
Coimbatore,2008,50135,Diesel,Manual,First,15.8,2148.0,170.0,5.0,Mercedes-Benz,New
Delhi,2016,25000,Petrol,Automatic,First,15.04,1991.0,183.0,5.0,Mercedes-Benz,CLA
Kolkata,2013,47000,Diesel,Manual,First,22.32,1582.0,126.32,5.0,Hyundai,Verna
Chennai,2016,150000,Diesel,Manual,First,14.95,2489.0,93.7,9.0,Mahindra,Xylo
Delhi,2015,53503,Diesel,Manual,First,26.59,1248.0,74.0,5.0,Maruti,Swift
Ahmedabad,2014,47003,Petrol,Manual,First,20.36,1197.0,78.9,5.0,Hyundai,i10
Delhi,2014,80000,Diesel,Manual,First,14.0,2179.0,138.1,7.0,Tata,Safari
Coimbatore,2018,20492,Petrol,Manual,First,18.9,1197.0,82.0,5.0,Hyundai,Grand
Chennai,2012,17000,Petrol,Automatic,Second,16.82,1998.0,189.08,4.0,Mini,Cooper
Delhi,2006,79000,Petrol,Manual,Second,13.4,1794.0,125.0,5.0,Toyota,Corolla
Kolkata,2014,27000,Petrol,Manual,First,14.28,1798.0,138.03,5.0,Toyota,Corolla
Kochi,2018,28786,Petrol,Manual,First,10.4,2393.0,163.5,5.0,Maruti,Grand
Chennai,2011,143354,Diesel,Manual,Second,16.0,1997.0,140.0,7.0,Mahindra,XUV500
Chennai,2008,56000,Petrol,Manual,Second,19.5,1061.0,,5.0,Maruti,Estilo
Mumbai,2013,21000,Petrol,Automatic,First,17.44,1998.0,189.08,4.0,Mini,Cooper
Jaipur,2009,73000,Diesel,Manual,Second,21.1,1248.0,73.9,5.0,Maruti,Ritz
Delhi,2012,74000,Diesel,Manual,Second,22.07,1199.0,73.9,5.0,Volkswagen,Polo
Kochi,2011,65423,Petrol,Manual,First,20.36,1197.0,78.9,5.0,Hyundai,i10
Jaipur,2009,65000,Petrol,Manual,Second,19.0,998.0,66.1,5.0,Maruti,A-Star
Hyderabad,2014,55277,Petrol,Manual,First,20.51,998.0,67.04,5.0,Maruti,Wagon
Coimbatore,2017,50808,Diesel,Manual,Second,24.2,1498.0,98.6,7.0,Honda,Mobilio
Jaipur,2017,52000,Petrol,Manual,Second,21.1,814.0,55.2,5.0,Hyundai,EON
Mumbai,2017,32000,Petrol,Automatic,First,14.84,1598.0,103.52,5.0,Skoda,Rapid
